year,TorI,TorII,TorIII,TorIV,TorV,TorVI,TorVII,cnt_a,sum_a,prop_a,FR_cnt_a,FR_sum_a,FR_prop_a,,FR>0,FR>19,FR>29,FR>39,FR>49,FR>59,FR>79
1794,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1795,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1796,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1797,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1798,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1799,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1800,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1801,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1802,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1803,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1804,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1805,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1806,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1807,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1808,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1809,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1810,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1811,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1812,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1813,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1814,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1815,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1816,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1817,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1818,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1819,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1820,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1821,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1822,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1823,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1824,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1825,,,,,,1,,1,1,1.00,1,1,1.00,,1,1,1,1,1,1,1
1826,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1827,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1828,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1829,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1830,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1831,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1832,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1833,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1834,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1835,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1836,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1837,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1838,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1839,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1840,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1841,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1842,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1843,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1844,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1845,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1846,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1847,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1848,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1849,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1850,,,,,,0,,1,0,0.00,1,0,0.00,,0,0,0,0,0,0,0
1851,,1,,,,1,,2,2,1.00,1,1,1.00,,1,1,1,1,1,1,1
1852,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1853,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1854,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1855,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1856,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1857,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1858,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1859,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1860,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1861,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1862,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1863,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1864,,0,,,,0,,2,0,0.00,2,0,0.00,,0,0,0,0,0,0,0
1865,1,0,,,,1,,3,2,0.67,2,1,0.50,,1,1,1,1,1,0,0
1866,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1867,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1868,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1869,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1870,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1871,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1872,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1873,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1874,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1875,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1876,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1877,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1878,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1879,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1880,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1881,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1882,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1883,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1884,0,0,,,,0,,3,0,0.00,3,0,0.00,,0,0,0,0,0,0,0
1885,0,0,,,,1,1,4,2,0.50,3,1,0.33,,1,1,1,0,0,0,0
1886,0,0,,,,0,0,4,0,0.00,4,0,0.00,,0,0,0,0,0,0,0
1887,0,0,,,,0,0,4,0,0.00,4,0,0.00,,0,0,0,0,0,0,0
1888,0,0,,1,,0,0,5,1,0.20,4,0,0.00,,0,0,0,0,0,0,0
1889,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1890,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1891,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1892,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1893,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1894,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1895,0,0,,0,,1,1,5,2,0.40,5,2,0.40,,1,1,1,1,0,0,0
1896,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1897,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1898,0,0,,1,,0,0,5,1,0.20,5,1,0.20,,1,1,0,0,0,0,0
1899,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1900,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1901,0,1,,0,,0,0,5,1,0.20,5,1,0.20,,1,1,0,0,0,0,0
1902,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1903,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1904,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1905,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1906,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1907,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1908,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1909,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1910,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1911,0,1,,1,,0,1,5,3,0.60,5,3,0.60,,1,1,1,1,1,1,0
1912,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1913,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1914,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1915,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1916,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1917,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1918,0,0,,0,,0,0,5,0,0.00,5,0,0.00,,0,0,0,0,0,0,0
1919,0,0,1,0,1,1,0,7,3,0.43,5,1,0.20,,1,1,0,0,0,0,0
1920,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1921,1,0,0,0,0,0,0,7,1,0.14,7,1,0.14,,1,0,0,0,0,0,0
1922,1,0,0,0,0,0,0,7,1,0.14,7,1,0.14,,1,0,0,0,0,0,0
1923,1,1,1,0,0,0,0,7,3,0.43,7,3,0.43,,1,1,1,1,0,0,0
1924,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1927,1,0,0,0,0,0,0,7,1,0.14,7,1,0.14,,1,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1929,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1931,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1933,0,1,0,0,0,1,1,7,3,0.43,7,3,0.43,,1,1,1,1,0,0,0
1934,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1940,1,0,0,1,1,0,0,7,3,0.43,7,3,0.43,,1,1,1,1,0,0,0
1941,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1942,0,1,0,0,0,0,0,7,1,0.14,7,1,0.14,,1,0,0,0,0,0,0
1943,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1948,1,0,0,0,0,0,0,7,1,0.14,7,1,0.14,,1,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1952,1,1,1,1,1,1,1,7,7,1.00,7,7,1.00,,1,1,1,1,1,1,1
1953,0,0,0,0,0,0,0,7,0,0.00,7,0,0.00,,0,0,0,0,0,0,0
1954,0,0,0,1,0,,0,6,1,0.17,6,1,0.17,,1,0,0,0,0,0,0
1955,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1956,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1957,0,0,0,0,0,,1,6,1,0.17,6,1,0.17,,1,0,0,0,0,0,0
1958,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1959,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1960,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1961,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1962,1,0,0,0,0,,1,6,2,0.33,6,2,0.33,,1,1,1,0,0,0,0
1963,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1964,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1965,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1966,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1967,0,0,1,0,0,,0,6,1,0.17,6,1,0.17,,1,0,0,0,0,0,0
1968,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1969,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1970,0,0,0,0,0,,1,6,1,0.17,6,1,0.17,,1,0,0,0,0,0,0
1971,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1972,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1973,1,0,0,0,1,,1,6,3,0.50,6,3,0.50,,1,1,1,1,1,0,0
1974,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1975,0,0,0,1,1,,0,6,2,0.33,6,2,0.33,,1,1,1,0,0,0,0
1976,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1977,1,1,0,1,0,,0,6,3,0.50,6,3,0.50,,1,1,1,1,1,0,0
1978,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1979,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1980,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1981,1,1,1,0,0,,1,6,4,0.67,6,4,0.67,,1,1,1,1,1,1,0
1982,0,0,0,0,1,,0,6,1,0.17,6,1,0.17,,1,0,0,0,0,0,0
1983,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1984,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1985,1,1,1,0,1,,1,6,5,0.83,6,5,0.83,,1,1,1,1,1,1,1
1986,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1987,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1988,1,0,0,0,1,,0,6,2,0.33,6,2,0.33,,1,1,1,0,0,0,0
1989,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1990,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1991,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1992,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1993,1,1,1,1,0,,1,6,5,0.83,6,5,0.83,,1,1,1,1,1,1,1
1994,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1995,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1996,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1997,1,1,1,1,1,,1,6,6,1.00,6,6,1.00,,1,1,1,1,1,1,1
1998,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
1999,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
2000,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
2001,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
2002,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
2003,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
2004,0,0,0,1,1,,1,6,3,0.50,6,3,0.50,,1,1,1,1,1,0,0
2005,0,0,0,0,0,,0,6,0,0.00,6,0,0.00,,0,0,0,0,0,0,0
